city,state,latitude,longitude,population,area,density,time_zone
Acton,MA,42.5020,-71.4338,23497,21.0134,1118.19,America/New_York
Acton,ME,43.5273,-70.9210,2565,37.9445,67.60,America/New_York
Acton,MT,45.9843,-108.6741,222,85.7146,2.59,America/Denver
Acushnet,MA,41.7139,-70.9012,10483,18.7471,559.18,America/New_York
Acworth,GA,34.0748,-84.6781,99683,75.6324,1317.99,America/New_York
Acworth,NH,43.2338,-72.2958,390,15.6854,24.86,America/New_York
Ada,MI,42.9765,-85.4766,20382,61.7703,329.96,America/Detroit
Ada,MN,47.3603,-96.5254,2330,236.7415,9.84,America/Chicago
Ada,OH,40.7768,-83.8121,8230,60.8739,135.20,America/New_York
Ada,OK,34.7890,-96.7108,31480,314.0695,100.23,America/Chicago
Adah,PA,39.9146,-79.9052,1223,14.3092,85.47,America/New_York
Adair,IA,41.5143,-94.6469,1460,122.5454,11.91,America/Chicago
Adair,IL,40.4002,-90.5052,444,43.9562,10.10,America/Chicago
Adair,OK,36.4371,-95.2726,3331,111.8353,29.78,America/Chicago
Adairsville,GA,34.3666,-84.9207,16138,110.2817,146.33,America/New_York
Adairville,KY,36.6874,-86.8604,2295,58.6824,39.11,America/Chicago
Adak,AK,51.8429,-176.6314,203,8.5194,23.83,America/Adak
Adamant,VT,44.3453,-72.4932,121,2.7975,43.25,America/New_York
Adams,KY,38.0639,-82.7294,151,6.3371,23.83,America/New_York
Adams,MA,42.6237,-73.1172,8209,23.4605,349.91,America/New_York
Adams,MN,43.5620,-92.7337,1525,54.5190,27.97,America/Chicago
Adams,ND,48.4090,-98.1071,335,161.6802,2.07,America/Chicago
Adams,NE,40.4652,-96.5239,1418,97.7665,14.50,America/Chicago
Adams,NY,43.8062,-76.0490,4816,81.1994,59.31,America/New_York
Adams,OK,36.7354,-101.0206,185,14.8810,12.43,America/Chicago
Adams,OR,45.7140,-118.4581,1057,255.0686,4.14,America/Los_Angeles
Adams,TN,36.5676,-87.1088,4938,81.4774,60.61,America/Chicago
Adams,WI,43.8902,-89.8045,3123,54.8089,56.98,America/Chicago
Adamsburg,PA,40.3065,-79.6526,738,0.9364,788.12,America/New_York
Adams Center,NY,43.8721,-76.0152,2716,35.1897,77.18,America/New_York
Adams Run,SC,32.7992,-80.3727,1888,72.8961,25.90,America/New_York
Adamstown,MD,39.2982,-77.4496,4881,27.6329,176.64,America/New_York
Adamstown,PA,40.2428,-76.0584,1098,1.0580,1037.81,America/New_York
Adamsville,AL,33.5952,-87.0009,7528,32.5484,231.29,America/Chicago
Adamsville,OH,40.0958,-81.8599,1008,35.3810,28.49,America/New_York
Adamsville,PA,41.5061,-80.3849,285,6.8347,41.70,America/New_York
Adamsville,TN,35.2585,-88.3988,6002,111.4127,53.87,America/Chicago
Addieville,IL,38.3781,-89.6117,1242,64.8025,19.17,America/Chicago
Addington,OK,34.2528,-97.9812,164,11.7261,13.99,America/Chicago
Addis,LA,30.3531,-91.2594,4952,11.3673,435.64,America/Chicago
Addison,AL,34.2339,-87.1882,2436,74.6464,32.63,America/Chicago
Addison,IL,41.9307,-88.0118,39216,11.5928,3382.79,America/Chicago
Addison,ME,44.5772,-67.7030,1172,39.3488,29.78,America/New_York
Addison,MI,41.9946,-84.3424,2412,29.8487,80.81,America/Detroit
Addison,NY,42.0969,-77.2886,5379,106.5048,50.50,America/New_York
Addison,PA,39.7475,-79.3454,639,16.8986,37.81,America/New_York
Addison,TX,32.9600,-96.8385,15000,4.6325,3237.99,America/Chicago
Addy,WA,48.3273,-117.9252,1400,105.9888,13.21,America/Los_Angeles
Addyston,OH,39.1392,-84.7123,759,0.7586,1000.53,America/New_York
Adel,GA,31.1184,-83.4377,10836,126.3988,85.73,America/New_York
Adel,IA,41.6106,-94.0427,7118,123.2410,57.76,America/Chicago
Adel,OR,42.2063,-119.7839,167,644.7903,0.26,America/Los_Angeles
Adelanto,CA,34.6446,-117.5409,33967,176.9869,191.92,America/Los_Angeles
Adell,WI,43.6061,-88.0552,1825,28.2986,64.49,America/Chicago
Adelphi,OH,39.4647,-82.7456,285,0.2050,1390.24,America/New_York
Adena,OH,40.2239,-80.8621,1984,27.9572,70.97,America/New_York
Adger,AL,33.4292,-87.1971,2927,93.3984,31.34,America/Chicago
Adin,CA,41.1743,-120.8529,380,112.8606,3.37,America/Los_Angeles
Adirondack,NY,43.7512,-73.7281,328,23.8946,13.73,America/New_York
Adjuntas,PR,18.1800,-66.7522,17242,59.7592,288.52,America/Puerto_Rico
Adkins,TX,29.3440,-98.2389,6175,40.0702,154.10,America/Chicago
Admire,KS,38.5985,-96.0871,126,13.8997,9.06,America/Chicago
Adolphus,KY,36.6711,-86.2697,2779,48.5510,57.24,America/Chicago
Adona,AR,35.0665,-92.8793,677,30.3943,22.27,America/Chicago
Adrian,GA,32.5486,-82.5829,3071,122.2391,25.12,America/New_York
Adrian,MI,41.9030,-84.0636,40615,116.4182,348.87,America/Detroit
Adrian,MN,43.6207,-95.9421,1796,105.0665,17.09,America/Chicago
Adrian,MO,38.4049,-94.3431,3574,122.1176,29.27,America/Chicago
Adrian,OR,43.6289,-117.0901,720,102.9605,6.99,America/Boise
Adrian,PA,40.8980,-79.5139,974,18.9931,51.28,America/New_York
Adrian,TX,35.3299,-102.7851,200,386.1020,0.52,America/Chicago
Advance,MO,37.0979,-89.9171,3047,106.9503,28.49,America/Chicago
Advance,NC,35.9445,-80.4377,14555,65.7277,221.44,America/New_York
Afton,IA,41.0272,-94.1909,1799,121.8592,14.76,America/Chicago
Afton,MI,45.3558,-84.4613,933,75.0486,12.43,America/Detroit
Afton,MN,44.9017,-92.8189,3019,27.2984,110.59,America/Chicago
Afton,NY,42.2293,-75.5333,2683,46.8738,57.24,America/New_York
Afton,OK,36.6394,-94.9423,7218,111.9231,64.49,America/Chicago
Afton,TN,36.2265,-82.7476,4606,42.3425,108.78,America/New_York
Afton,TX,33.7578,-100.7864,225,217.1824,1.04,America/Chicago
Afton,VA,37.9772,-78.8107,3612,65.1682,55.43,America/New_York
Afton,WI,42.6061,-89.0654,219,0.6208,352.77,America/Chicago
Afton,WY,42.7228,-110.9013,4587,156.7301,29.27,America/Denver
Agar,SD,44.8449,-100.1645,97,93.6297,1.04,America/Chicago
Agate,CO,39.3927,-104.0286,492,316.6036,1.55,America/Denver
Agawam,MA,42.0626,-72.6259,17621,12.0887,1457.64,America/New_York
Agency,IA,40.9923,-92.2920,1132,15.9514,70.97,America/Chicago
Agency,MO,39.6333,-94.7173,1568,41.4663,37.81,America/Chicago
Agenda,KS,39.7037,-97.4805,190,73.3594,2.59,America/Chicago
Ages Brookside,KY,36.8606,-83.2482,526,6.9790,75.37,America/New_York
Agness,OR,42.6214,-124.0140,13,16.7311,0.78,America/Los_Angeles
Agoura Hills,CA,34.1227,-118.7573,25631,34.2903,747.47,America/Los_Angeles
Agra,KS,39.8247,-99.1256,344,53.1276,6.47,America/Chicago
Agra,OK,35.8865,-96.8742,1445,42.5891,33.93,America/Chicago
Aguada,PR,18.3607,-67.1752,38442,28.3525,1355.86,America/Puerto_Rico
Aguadilla,PR,18.4544,-67.1220,48814,28.2186,1729.85,America/Puerto_Rico
Agua Dulce,TX,27.7427,-97.9156,899,17.8920,50.25,America/Chicago
